Company Name,Industry,Symbol,Series,ISIN Code,ID
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,1348
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026,14334
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,1363
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,2303
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026,17939
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,1406
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,1394
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,1424
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,18457
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025,2056
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA,EQ,INE0J5401028,19813
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010,3417
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017,20825
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,4963
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,21770
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,18652
ICICI Securities Ltd.,Financial Services,ISEC,EQ,INE763G01038,2489
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015,1476
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,11184
IDFC Ltd.,Financial Services,IDFC,EQ,INE043D01016,11957
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024,11809
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022,15313
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021,4986
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,1660
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017,1675
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012,1515
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016,10726
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,14309
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,220
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,1512
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,1624
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014,9348
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,13611
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,2029
Indigo Paints Ltd.,Consumer Durables,INDIGOPNTS,EQ,INE09VQ01012,2048
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027,11262
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,29135
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,5258
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024,13751
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,1594
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011,7852
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017,5926
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,11195
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038,1633
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036,1726
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014,13270
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01044,11655
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI,EQ,INE786A01032,13491
JK Paper Ltd.,Forest Materials,JKPAPER,EQ,INE789E01012,11860
JM Financial Ltd.,Financial Services,JMFINANCIL,EQ,INE780C01023,13637
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,17869
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026,19020
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,11723
Jai Balaji Industries Ltd.,Metals & Mining,JAIBALAJI,BE,INE091G01018,14076
Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK,EQ,INE168A01041,5633
Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01024,3024
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021,11236
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,6733
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,18143
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020,18096
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018,2783
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033,3637
Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016,20224
Justdial Ltd.,Consumer Services,JUSTDIAL,EQ,INE599M01018,29962
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031,15146
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031,14912
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027,13310
KNR Constructions Ltd.,Construction,KNRCON,EQ,INE634I01029,15283
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011,9683
KRBL Ltd.,Fast Moving Consumer Goods,KRBL,EQ,INE001B01026,10577
KSB Ltd.,Capital Goods,KSB,EQ,INE999A01015,1949
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036,1808
Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022,1814
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,2955
Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER,EQ,INE531A01024,1196
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028,1838
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012,12092
Kec International Ltd.,Construction,KEC,EQ,INE389H01022,13260
Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010,13359
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,1922
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01017,4847
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015,24948
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017,18564
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,1997
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019,17818
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,11483
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,BE,INE0I7C01011,6818
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028,19234
Laxmi Organic Industries Ltd.,Chemicals,LXCHEM,EQ,INE576O01020,2841
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018,2606
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,9480
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011,1627
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME,EQ,INE281B01032,17313
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,10440
MMTC Ltd.,Services,MMTC,EQ,INE123F01029,17957
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011,2277
MTAR Technologies Ltd.,Capital Goods,MTARTECH,EQ,INE864I01014,2709
Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029,3220
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010,17534
Maharashtra Seamless Ltd.,Capital Goods,MAHSEAMLES,EQ,INE271B01025,2088
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024,13285
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,2031
Mahindra Holidays & Resorts India Ltd.,Consumer Services,MHRIL,EQ,INE998I01010,17333
Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE,EQ,INE813A01018,8050
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027,19061
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014,2283
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028,15380
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,4067
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,10999
Mastek Ltd.,Information Technology,MASTEK,EQ,INE759A01021,2124
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,2142
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,22377
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01012,509
Medplus Health Services Ltd.,Consumer Services,MEDPLUS,EQ,INE804L01022,7254
Metro Brands Ltd.,Consumer Durables,METROBRAND,EQ,INE317I01021,7242
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020,9581
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP,EQ,INE842C01021,25897
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015,8596
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027,14947
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,4503
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035,31181
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,23650
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026,3918
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031,31415
NCC Ltd.,Construction,NCC,EQ,INE868B01028,2319
NHPC Ltd.,Power,NHPC,EQ,INE848E01016,17400
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014,8585
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,15332
NMDC Steel Ltd.,Metals & Mining,NSLNISP,EQ,INE0NNS01018,14180
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,11630
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011,11840
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034,6364
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026,14672
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,17963
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18,EQ,INE870H01013,14111
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013,357
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA,EQ,INE531F01015,18721
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,EQ,INE118D01016,5426
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,20242
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,2475
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014,17438
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016,10637
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,6705
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027,10738
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,6656
PCBL Ltd.,Chemicals,PCBL,EQ,INE602A01031,2649
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,24184
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012,18908
PNC Infratech Ltd.,Construction,PNCINFRA,EQ,INE195J01029,9385
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014,13147
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022,14413
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035,17029
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021,18365
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014,11351
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039,14552
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,2664
Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024,2412
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011,11571
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021,25718
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017,9590
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022,11403
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,14299
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,14977
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025,2705
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,20302
Prince Pipes and Fittings Ltd.,Capital Goods,PRINCEPIPE,EQ,INE689W01016,16045
Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN,EQ,INE010A01011,2739
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,EQ,INE179A01014,2535
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,10666
Quess Corp Ltd.,Services,QUESS,EQ,INE615P01015,17704
R R Kabel Ltd.,Capital Goods,RRKABEL,EQ,INE777K01022,18566
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028,18391
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,15355
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ,INE743M01012,31163
RITES Ltd.,Construction,RITES,EQ,INE320J01015,3761
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028,10990
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027,9552
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019,2431
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,EQ,INE961O01016,9408
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO,EQ,INE343B01030,7401
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023,11411
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF,EQ,INE027A01015,2866
Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI,EQ,INE703B01027,13451
RattanIndia Enterprises Ltd.,Consumer Services,RTNINDIA,EQ,INE834M01019,27297
Raymond Ltd.,Textiles,RAYMOND,EQ,INE301A01014,2859
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026,14255
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,2885
Restaurant Brands Asia Ltd.,Consumer Services,RBA,EQ,INE07T201019,1494
Route Mobile Ltd.,Telecommunication,ROUTE,EQ,INE450U01017,128
SBFC Finance Ltd.,Financial Services,SBFC,EQ,INE423Y01016,18026
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,17971
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,21808
SJVN Ltd.,Power,SJVN,EQ,INE002L01015,18883
SKF India Ltd.,Capital Goods,SKFINDIA,EQ,INE640A01023,3186
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,3273
Safari Industries (India) Ltd.,Consumer Durables,SAFARI,EQ,INE429E01023,13035
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,4204
Sanofi India Ltd.,Healthcare,SANOFI,EQ,INE058A01010,1442
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01012,6718
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025,4892
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022,1011
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,EQ,INE839M01018,31234
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,3103
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,EQ,INE087H01022,12026
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01013,4306
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011,4693
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,3150
Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023,18743
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015,13826
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029,13332
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018,4684
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021,6596
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,EQ,INE575P01011,7083
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,3045
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011,2963
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,EQ,INE00M201021,12489
Sterlite Technologies Ltd.,Telecommunication,STLTECH,EQ,INE089C01029,9309
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,INE258G01013,17105
Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC,EQ,INE232I01014,14788
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,3351
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027,13404
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013,3339
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST,EQ,INE387A01021,3345
Sunteck Realty Ltd.,Realty,SUNTECK,EQ,INE805D01034,17641
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028,3363
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR,EQ,INE03QK01018,17945
Suzlon Energy Ltd.,Capital Goods,SUZLON,BE,INE040H01021,12018
Swan Energy Ltd.,Diversified,SWANENERGY,EQ,INE665A01038,27095
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022,10243
Syrma SGS Technology Ltd.,Capital Goods,SYRMA,EQ,INE0DYJ01015,10793
TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST,EQ,INE886H01027,14208
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,8479
TVS Supply Chain Solutions Ltd.,Services,TVSSCS,EQ,INE395N01027,18151
Tamilnad Mercantile Bank Ltd.,Financial Services,TMB,EQ,INE668A01016,10945
Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032,13976
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019,3405
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013,3721
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,11536
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,3432
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012,3411
